Word, Hindi Meaning, Year
Absolutely, बिल्कुल, 2024
Abysmal, abysmal, 2024
Accessibility, सरल उपयोग, 2024
Accommodate, समायोजित करना, 2024
Accommodation, आवास, 2024
Accurately, सही रूप में, 2024
Achievements, उपलब्धियों, 2024
Acknowledge, स्वीकार करना, 2024
Acquaintance, जान-पहचान, 2024
Agree, सहमत, 2024
Allegation, आरोप, 2024
Allocation, आवंटन, 2024
Amicable, मैत्रीपूर्ण, 2024
Apparatus, उपकरण, 2024
Aptitude, कौशल, 2024
Assignment, कार्यभार, 2024
Athletes, एथलीट, 2024
Atrocious, नृशंस, 2024
Attempt, कोशिश करना, 2024
Attribute, गुण, 2024
Aversion, घृणा, 2024
Award, पुरस्कार, 2024
Beginning, शुरुआत, 2024
Believe, विश्वास, 2024
Bizarre, विचित्र, 2024
Bucolic, ग्राम्य, 2024
Bureaucracy, नौकरशाही, 2024
Capitalist, पूंजीवादी, 2024
Cemetery, कब्रिस्तान, 2024
Centenary, शताब्दी, 2024
Clear, स्पष्ट, 2024
Colleague, सहकर्मी, 2024
Colloquial, बोल-चाल का, 2024
Commercial, व्यावसायिक, 2024
Committee, समिति, 2024
Components, अवयव, 2024
Confident, आत्मविश्वासी, 2024
Confidential, गोपनीय, 2024
Connoisseur, विशेषज्ञ, 2024
Conscientious, कर्तव्यनिष्ठ, 2024
Conscious, सचेत, 2024
Consensus, सर्वसम्मति, 2024
Consumerist, उपभोक्तावादी, 2024
Container, पात्र, 2024
Contemptible, घिनौना, 2024
Contradiction, विरोधाभास, 2024
Contribution, योगदान, 2024
Convenient, सुविधाजनक, 2024
Culinary, पाक, 2024
Definitely, निश्चित रूप से, 2024
Descendant, वंशज, 2024
Diffuse, बिखरा हुआ, 2024
Dilemma, दुविधा, 2024
Disasters, आपदाओं, 2024
Discipline, अनुशासन, 2024
Economics, अर्थशास्त्र, 2024
Educational, शिक्षात्मक, 2024
Efficient, कुशल, 2024
Embarrass, शर्मिंदा करना, 2024
Embarrassed, शर्मिंदा, 2024
Enough, पर्याप्त, 2024
Entrepreneurship, उद्यमशीलता, 2024
Evacuate, खाली करना, 2024
Exaggerate, अतिरंजना करना, 2024
Exceed, से अधिक, 2024
Excellent, उत्कृष्ट, 2024
Exhibition, प्रदर्शनी, 2024
Exhilarate, ख़ुश करना, 2024
Exhilarated, ख़ुश, 2024
Exhilaration, ज़िंदादिली, 2024
Fictitious, काल्पनिक, 2024
Flexibility, FLEXIBILITY, 2024
Fortified, दृढ़, 2024
Fundamental, मौलिक, 2024
Futuristic, भविष्य, 2024
Guilty, अपराधी, 2024
Harassment, उत्पीड़न, 2024
Honest, ईमानदार, 2024
Impressive, प्रभावशाली, 2024
Interrupt, रुकावट डालना, 2024
Inundated, बाढ़, 2024
Listen, सुनना, 2024
Liturgy, मरणोत्तर गित, 2024
Maintenance, रखरखाव, 2024
Manoeuvre, युद्धाभ्यास, 2024
Measurement, माप, 2024
Mediation, मध्यस्थता, 2024
Millennium, सहस्राब्दी, 2024
Miscalculation, अशुद्ध गणना, 2024
Mischievous, शरारती, 2024
Moment, पल, 2024
Motivational, प्रेरक, 2024
National, राष्ट्रीय, 2024
Necessary, ज़रूरी, 2024
Necessity, ज़रूरत, 2024
Occasion, अवसर, 2024
Occurrence, घटना, 2024
Offer, प्रस्ताव, 2024
Opportunity, अवसर, 2024
Ostentatious, दिखावटी, 2024
Outstanding, असाधारण, 2024
Parallelism, समानता, 2024
Performance, प्रदर्शन, 2024
Perseverance, दृढ़ता, 2024
Possession, कब्ज़ा, 2024
Poverty, गरीबी, 2024
Precede, पूर्व में होना, 2024
Prevailed, प्रबल, 2024
Priority, प्राथमिकता, 2024
Privilege, विशेषाधिकार, 2024
Proceed, आगे बढ़ना, 2024
Pronunciation, उच्चारण, 2024
Quench, बुझाना, 2024
Question, सवाल, 2024
Recapture, पुनर्ग्रहण, 2024
Receive, प्राप्त करें, 2024
Received, प्राप्त, 2024
Referred, निर्दिष्ट, 2024
Region, क्षेत्र, 2024
Reinforcement, सुदृढीकरण, 2024
Relevant, उपयुक्त, 2024
Removal, हटाना, 2024
Repercussion, प्रतिक्रिया, 2024
Repugnance, घृणा, 2024
Restaurant, रेस्टोरेंट, 2024
Righteous, न्याय परायण, 2024
Sensation, सनसनी, 2024
Setbacks, असफलताओं, 2024
Sovereignty, संप्रभुता, 2024
Succeed, सफल होना, 2024
Supersede, हटा देना, 2024
Surrealism, अतियथार्थवाद, 2024
Tangible, वास्तविक, 2024
Technology, तकनीकी, 2024
Terracide, टेरासाइड, 2024
Terracotta, टेरकोटा, 2024
Tertial, तृतीयक, 2024
Trials, परीक्षणों, 2024
Truly, सही मायने में, 2024
Tumbler, गिलास, 2024
Unforeseen, अप्रत्याशित, 2024
Upstairs, ऊपर, 2024
Verifiability, सत्यापनीयता, 2024
Verminous, घिनौना, 2024
Voluptuous, कामुक, 2024
Vomitus, उल्टी, 2024
Weather, मौसम, 2024
Glittering, शानदार, 2023
Assigned, सौंपा गया, 2023
Apprentices, प्रशिक्षुओं, 2023
Beggars, भिखारी, 2023
Association, संगठन, 2023
Tributes, श्रद्धांजलि, 2023
Floral, फूलों, 2023
Hoisting, उत्थापन, 2023
Statue, मूर्ति, 2023
Spontaneity, स्वच्छंदता, 2023
Instantaneously, तत्क्षण, 2023
Extempore, अचिंतित, 2023
Brainstorm, मंथन, 2023
Implementation, कार्यान्वयन, 2023
Reliance, रिलायंस, 2023
Opportunity, अवसर, 2023
Approach, दृष्टिकोण, 2023
Bureau, ब्यूरो, 2023
Adolescence, किशोरावस्था, 2023
Familiar, परिचित, 2023
Timid, डरपोक, 2023
Introvert, अंतर्मुखी, 2023
Resistance, प्रतिरोध, 2023
Receipt, रसीद, 2023
Deceived, धोखा, 2023
Postponed, स्थगित, 2023
Petrol, पेट्रोल, 2023
Carrier, वाहक, 2023
Cradle, पालना, 2023
Fruitful, उपयोगी, 2023
Wilful, खुदराय, 2023
Unction, गर्मजोशी, 2023
Niece, भतीजी, 2023
Father, पिता, 2023
Nephew, भतीजा, 2023
Uncle, चाचा, 2023
Connotation, अर्थ, 2023
Patron, संरक्षक, 2023
Dearth, अकाल, 2023
Quarry, शिकार, 2023
Absolute, निरपेक्ष, 2023
Astute, चतुर, 2023
Abundance, प्रचुरता, 2023
Abrupt, आकस्मिक, 2023
Mysterious, रहस्यमय, 2023
Blessed, सौभाग्यपूर्ण, 2023
Profane, अपवित्र, 2023
Laughable, हास्यास्पद, 2023
Reasonable, उचित, 2023
Dredge, छिड़कना, 2023
North, उत्तर, 2023
Seize, जब्त, 2023
Erase, मिटाएं, 2023
Configuration, विन्यास, 2023
Consultancy, कंसल्टेंसी, 2023
Conspiracy, षड़यंत्र, 2023
Constitution, संविधान, 2023
Idols, मूर्तियों, 2023
Copulate, मैथुन करना, 2023
Ignition, इग्निशन, 2023
Horticulture, बागवानी, 2023
Portion, भाग, 2023
Predict, भविष्यवाणी करना, 2023
Stimulate, उकसाना, 2023
Detect, पता लगाना, 2023
Conceive, गर्भ धारण, 2023
Aristocrat, रईस, 2023
Preference, वरीयता, 2023
Occurrence, घटना, 2023
Advertise, विज्ञापित, 2023
Matter, मामला, 2023
Weird, अजीब, 2023
Consequences, नतीजे, 2023
Overreact, अत्यधिक प्रतिक्रिया, 2023
Avarice, लोभ, 2023
Beige, बेज, 2023
Admonish, धिक्कारना, 2023
Adverse, हानिकर, 2023
Provide, उपलब्ध करवाना, 2023
Subside, कम होना, 2023
Confide, गुप्त रूप से बताना, 2023
Divide, विभाजित करना, 2023
Solution, समाधान, 2023
Cultural, सांस्कृतिक, 2023
Trustworthy, विश्वसनीय, 2023
Bonafide, वास्तविक, 2023
Science, विज्ञान, 2023
Progress, प्रगति, 2023
Bound, अवश्यंभावी, 2023
Leap, छलाँग, 2023
Cabbage, पत्ता गोभी, 2023
Miniature, लघु, 2023
Misspell, गलत लिखा है, 2023
Metamorphic, रूपांतरित, 2023
Mischievous, शरारती, 2023
Sprout, अंकुर, 2023
Achieve, प्राप्त करना, 2023
Loyalty, निष्ठा, 2023
Treasury, ख़ज़ाना, 2023
Constructive, रचनात्मक, 2023
Consideration, सोच-विचार, 2023
Significance, महत्व, 2023
Lucrative, लाभप्रद, 2023
Agreement, समझौता, 2023
Arbitrary, मनमाना, 2023
Favourite, पसंदीदा, 2023
Conviction, दृढ़ विश्वास, 2023
Amusement, मनोरंजन, 2023
Fascinating, आकर्षक, 2023
Visitors, आगंतुकों, 2023
Souvenir, यादगार, 2023
Labradors, लैब्रेडोर, 2023
Docile, विनम्र, 2023
Gentile, नास्तिक व्यक्ति, 2023
Nocturnal, रात का, 2023
Repulsive, प्रतिकारक, 2023
Scoreboard, स्कोर बोर्ड, 2023
Irrespective, निरपेक्ष, 2023
Almost, लगभग, 2023
Treble, तिहरा, 2023
Nozzle, नोक, 2023
Moisture, नमी, 2023
Unchallenged, चुनौती, 2023
Instantaneous, तात्कालिक, 2023
Advertising, विज्ञापन देना, 2023
Desired, इच्छित, 2023
Brakes, ब्रेक, 2023
Remission, क्षमा, 2023
Arrangement, व्यवस्था, 2023
Jeopardize, ख़तरे में डालना, 2023
Corruption, भ्रष्टाचार, 2023
Stretch, खींचना, 2023
Wages, वेतन, 2023
Wearily, लस्त, 2023
Refusal, इनकार, 2023
Precaution, एहतियात, 2023
Cowardice, कायरता, 2023
Adequate, पर्याप्त, 2023
Ridiculous, हास्यास्पद, 2023
Gauge, गेज, 2023
Effervescent, चमकता हुआ, 2023
Frosty, ठंढा, 2023
Terrifying, भयानक, 2023
Dominate, हावी होना, 2023
Elegant, सुरुचिपूर्ण, 2023
Cavalier, घुड़सवार, 2023
Charisma, प्रतिभा, 2023
Sieve, चलनी, 2023
Heave, उसांस, 2023
Weave, बुनना, 2023
Obsess, दिल में घर कर लेना, 2023
Entrance, प्रवेश द्वार, 2023
Stationary, अचल, 2023
Brief, संक्षिप्त, 2023
Thunder, गड़गड़ाहट, 2023
Imprint, छाप, 2023
Precious, कीमती, 2023
Vicious, दुष्ट, 2023
Hoarse, कर्कश, 2023
Process, प्रक्रिया, 2023
Tour, यात्रा, 2023
Triumph, विजयोल्लास, 2023
Sandwich, सैंडविच, 2023
Hallucinate, भ्रांत करना, 2023
Alimony, निर्वाह निधि, 2023
Halloween, हेलोवीन, 2023
Structural, संरचनात्मक, 2023
Receipt, रसीद, 2023
Harassment, उत्पीड़न, 2023
Vaccinate, टीकाकरण, 2023
Technically, तकनीकी तौर पर, 2023
Successful, सफल, 2023
Inspired, प्रेरित किया, 2023
Successful, सफल, 2023
Model, नमूना, 2023
Greatness, महानता, 2023
Announce, की घोषणा, 2023
Coterminous, coterminous, 2023
Ambient, व्यापक, 2023
Felicitate, अति प्रसन्न करना, 2023
Anxiety, चिंता, 2023
Stationery, लेखन सामग्री, 2023
Preparation, तैयारी, 2023
Voluntary, स्वैच्छिक, 2023
Perseverance, दृढ़ता, 2023
Preponderance, प्रधानता, 2023
Preservation, संरक्षण, 2023
Preference, वरीयता, 2023
Drifter, आवारा, 2023
Haughty, घमंडी, 2023
Hinterland, आंतरिक इलाके, 2023
Bellwether, भेड़ाओं का राहनुमा, 2023
Considerable, विचारणीय, 2023
Gigantic, विशाल, 2023
Achieve, प्राप्त करना, 2023
Something, कुछ, 2023
Pronunciation, उच्चारण, 2023
Throat, गला, 2023
Audible, सुनाई देने योग्य, 2023
Believe, विश्वास, 2023
Entrepreneur, उद्यमी, 2023
Audacious, साहसी, 2023
Business, व्यापार, 2023
Bear, भालू, 2023
Robust, मज़बूत, 2023
Oligopoly, अल्पाधिकार, 2023
Xylophone, सिलाफ़न, 2023
Zenith, शीर्षबिंदु, 2023
Validity, वैधता, 2023
Submissive, विनम्र, 2023
Kaleidoscope, बहुरूपदर्शक, 2023
Animation, एनिमेशन, 2023
Traditional, परंपरागत, 2023
Calendar, कैलेंडर, 2023
Activities, गतिविधियाँ, 2023
Households, परिवारों, 2023
Braking, ब्रेकिंग, 2023
Education, शिक्षा, 2023
Crucial, महत्वपूर्ण, 2023
Poverty, गरीबी, 2023
Dearth, अकाल, 2023
Corrupt, भ्रष्ट, 2023
Barely, मुश्किल से, 2023
Acceptable, स्वीकार्य, 2023
Sufficient, पर्याप्त, 2023
Syrup, सिरप, 2023
Superior, बेहतर, 2023
Shrubbery, झाड़ी का जंगल, 2023
Erroneous, ग़लत, 2022
Finery, सजधज, 2022
Heist, लूट, 2022
Cringe, चापलूसी, 2022
Defer, आस्थगित करें, 2022
Piercing, पियर्सिंग, 2022
Sleek, चिकना, 2022
Pie, पाई, 2022
Itch, खुजली, 2022
Disenfranchised, बेदखल, 2022
Slaughter, वध, 2022
Cropping, फसल, 2022
Trafficking, तस्करी, 2022
Tyrannical, अत्याचारी, 2022
Gleaming, चमचमाती, 2022
Cemetery, कब्रिस्तान, 2022
Accommodate, समायोजित करना, 2022
Intruder, घुसेड़नेवाला, 2022
Necessary, ज़रूरी, 2022
Aborigines, मुलनिवासी, 2022
Texture, बनावट, 2022
Sledge, लोहार का हथौड़ा, 2022
Savoury, दिलकश, 2022
Tamper, छेड़छाड़, 2022
Benign, सौम्य, 2022
Mortified, अपमानित, 2022
Insecurities, असुरक्षा, 2022
Dismay, बेचैनी, 2022
Besieged, घेर लिया, 2022
Besieged, घेर लिया, 2022
Adolescent, किशोर, 2022
Belief, आस्था, 2022
Beneath, नीचे, 2022
Belly, पेट, 2022
Bellow, bellow, 2022
Clemency, दया, 2022
Avaricious, लालची, 2022
Hegemony, नायकत्व, 2022
Nostalgic, बीते वक्त की याद, 2022
Associate, संबंद्ध करना, 2022
Professional, पेशेवर, 2022
Dubious, संदिग्ध, 2022
Nefarious, कुटिल, 2022
Consummate, समाप्त, 2022
Raucous, फटा, 2022
Occurrence, घटना, 2022
Rhyme, तुक, 2022
Timely, समयोचित, 2022
Rhythm, लय, 2022
Symbolical, प्रतीकात्मक, 2022
Justice, न्याय, 2022
Judge, न्यायाधीश, 2022
Attorney, प्रतिनिधि, 2022
Lawyer, वकील, 2022
Hysterically, पागलों, 2022
Frisk, क्रीड़ा करना, 2022
Reply, जवाब, 2022
Rusk, सूखी रोटी, 2022
Foliage, पत्ते, 2022
Irritating, परेशान, 2022
Pedestrian, पैदल यात्री, 2022
Enervating, स्फूर्तिदायक, 2022
Beguiling, आकर्षक, 2022
Adopt, गोद लेना, 2022
Access, पहुँच, 2022
Abandon, छोड़ देना, 2022
Abase, अपमानित करना, 2022
Delight, आनंद, 2022
Stripe, पट्टी, 2022
Fright, भय, 2022
Knight, सामंत, 2022
Innocence, बेगुनाही, 2022
Governance, शासन, 2022
Enforcement, प्रवर्तन, 2022
Insufficient, नाकाफी, 2022
Colleague, सहकर्मी, 2022
Harassment, उत्पीड़न, 2022
Humorous, रस लेनेवाला, 2022
Perceivable, समझ योग्य, 2022
Warden, प्रबंधक, 2022
Policeman, पुलिसकर्मी, 2022
Engineer, अभियंता, 2022
Doctor, चिकित्सक, 2022
Tranquillity, शांति, 2022
Tyranny, अत्याचार, 2022
Serenity, शांति, 2022
Harmony, सद्भाव, 2022
Movement, आंदोलन, 2022
Ketchup, केचप, 2022
Precise, सटीक, 2022
Flashy, चमकीला, 2022
Demolish, ध्वस्त, 2022
Conduct, आचरण, 2022
Biopic, बायोपिक, 2022
Handful, मुट्ठी, 2022
Artillery, तोपें, 2022
Efficient, कुशल, 2022
Craftsmanship, शिल्प कौशल, 2022
Sergeant, उच्च श्रेणी का वकील, 2022
Compact, सघन, 2022
Compel, मजबूर, 2022
Currently, वर्तमान में, 2022
Savage, असभ्य, 2022
Assiduous, परिश्रमी, 2022
Disapproval, अस्वीकृति, 2022
Devastation, तबाही, 2022
Conjoined, संयुक्त, 2022
Equilibrium, संतुलन, 2022
Athlete, धावक, 2022
Practically, वास्तव में, 2022
Benefitted, लाभ उठाया, 2022
Antarctic, अंटार्कटिक, 2022
Thyroid, थाइरोइड, 2022
Disaster, आपदा, 2022
System, प्रणाली, 2022
Distance, दूरी, 2022
Armature, आर्मेचर, 2022
Apparently, जाहिरा तौर पर, 2022
Committed, प्रतिबद्ध, 2022
Disciplined, अनुशासित, 2022
Accommodative, उदार, 2022
Magnanimous, उदार, 2022
Aggressive, आक्रामक, 2022
Benevolent, परोपकारी, 2022
Architecture, वास्तुकला, 2022
Serrated, दाँतेदार, 2022
Nuisance, बाधा, 2022
Convalescence, आरोग्यलाभ, 2022
Languish, दुर्बल, 2022
Altitude, ऊंचाई, 2022
Discussion, बहस, 2022
Longitudinal, अनुदैर्ध्य, 2022
Publication, प्रकाशन, 2022
Password, पासवर्ड, 2022
Research, अनुसंधान, 2022
Popular, लोकप्रिय, 2022
Sabbatical, विश्राम, 2022
Confluence, संगम हे, 2022
Sinhalese, लंका का, 2022
Conform, अनुरूप, 2022
Mythical, कल्पित, 2022
Squawked, चिल्लाया, 2022
Questionnaire, प्रश्नावली, 2022
Committee, समिति, 2022
Intervention, हस्तक्षेप, 2022
Outcome, नतीजा, 2022
Hippopotamus, जलहस्ती, 2022
Embarrassing, शर्मिंदा करने वाला, 2022
Slip, फिसलना, 2022
Moments, लम्हें, 2022
Repetitive, दोहरावदार, 2022
Streamlining, व्यवस्थित बनाने, 2022
Construction, निर्माण, 2022
Barbaric, असभ्य, 2022
Evolution, विकास, 2022
Contradiction, विरोधाभास, 2022
Abhorrent, घिनौना, 2022
Condensing, संघनितजल, 2022
Hereditary, वंशानुगत, 2022
Bouquet, पुष्प गुच्छ, 2022
Hygiene, स्वच्छता, 2022
Mortgage, गिरवी रखना, 2022
Champagne, शैम्पेन, 2022
Manoeuvre, युद्धाभ्यास, 2022
Noticeable, ध्यान देने योग्य, 2022
Technological, प्रौद्योगिकीय, 2022
Advancements, प्रगति, 2022
Millennium, सहस्राब्दी, 2022
Thrilling, रोमांचक, 2022
Caribbean, कैरेबियन, 2022
Assassination, हत्या, 2022
Ruthless, क्रूर, 2022
Inquisitive, जिज्ञासु, 2022
Perseverant, दृढ़ निश्चयी, 2022
Conscientious, कर्तव्यनिष्ठ, 2022
Exploring, तलाश, 2022
Laparoscopy, लेप्रोस्कोपी, 2022
Generate, उत्पन्न, 2022
Intermittent, रुक-रुक कर, 2022
Guise, भेष, 2022
Piece, टुकड़ा, 2022
Amateur, शौकिया, 2022
Pollen, पराग, 2022
Mousy, कातर, 2022
Quasi, अर्ध, 2022
Quaver, थरथराहट, 2022
Flawless, बेदाग, 2022
Rudimentary, मौलिक, 2022
Primitive, प्राचीन, 2022
Impractical, अव्यावहारिक, 2022
Anonymous, गुमनाम, 2022
Insidious, कपटी, 2022
Deceived, धोखा, 2022
Eczema, खुजली, 2022
Convoluted, जटिल, 2022
Foreseeable, निकट, 2022
Problematic, समस्यात्मक, 2022
Exhilarate, ख़ुश करना, 2022
Deforestation, वनों की कटाई, 2022
Substantial, संतोषजनक, 2022
Regrettable, पछतावा करने योग्य, 2022
Consequences, नतीजे, 2022
Couture, Couture, 2022
Benchmark, बेंचमार्क, 2022
Knight, सामंत, 2022
Aggravate, छेड़ना, 2022
Subsistence, निर्वाह, 2022
Musk, कस्तूरी, 2022
Decide, तय करना, 2022
External, बाहरी, 2022
Angle, कोण, 2022
Hierarchical, श्रेणीबद्ध, 2022
Guarantee, गारंटी, 2022
Structural, संरचनात्मक, 2022
Downtrodden, दलित, 2022
Diabetes, मधुमेह, 2022
Anguish, पीड़ा, 2022
Excruciating, कष्टदायी, 2022
Exacerbating, और बदतर हो गयी, 2022
Traumatic, घाव, 2022
Strings, स्ट्रिंग्स, 2022
Ecological, पारिस्थितिक, 2022
Assessment, आकलन, 2022
Comprehensive, विस्तृत, 2022
Inoculation, टीकाकरण, 2022
Continuous, निरंतर, 2022
Success, सफलता, 2022
Goals, लक्ष्य, 2022
Achievement, उपलब्धि, 2022
Protestors, प्रदर्शनकारी, 2022
Enmity, शत्रुता, 2022
